id,name,code,active
study_field_administracion,Administración,administracion,True
study_field_administracion_empresas,Administración de Empresas,administracion_empresas,True
study_field_administracion_construccion,Administración de la Construcción,administracion_construccion,True
study_field_administracion_negocios,Administración de Negocios,administracion_negocios,True
study_field_administracion_rrh,Administración de RR.HH.,administracion_rrh,True
study_field_agronomia,Agronomía,agronomia,True
study_field_arquitecto,Arquitecto,arquitecto,True
study_field_arquitectura,Arquitectura,arquitectura,True
study_field_arte,Artes Visuales,arte,True
study_field_biologia,Biología,biologia,True
study_field_biotecnologia,Biotecnología,biotecnologia,True
study_field_comunicacion,Ciencias de la Comunicación,comunicacion,True
study_field_educacion,Ciencias de la Educación,educacion,True
study_field_ciencias_politicas,Ciencias Políticas,ciencias_politicas,True
study_field_comunicacion_periodismo,Comunicación y Periodismo,comunicacion_periodismo,True
study_field_construccion,Construcción,construccion,True
study_field_contabilidad,Contabilidad,contabilidad,True
study_field_contabilidad_financiera_fiscal,Contabilidad Financiera y Fiscal,contabilidad_financiera_fiscal,True
study_field_contaduria,Contaduría,contaduria,True
study_field_derecho,Derecho,derecho,True
study_field_dibujo_arquitectonico_construccion,Dibujo Arquitectónico y de Construcción,dibujo_arquitectonico_construccion,True
study_field_diseno_arquitectonico,Diseño Arquitectónico,diseno_arquitectonico,True
study_field_diseno_grafico,Diseño Gráfico,diseno_grafico,True
study_field_diseno_industrial,Diseño Industrial,diseno_industrial,True
study_field_economia,Economía,economia,True
study_field_enfermeria,Enfermería,enfermeria,True
study_field_filosofia,Filosofía,filosofia,True
study_field_finanzas,Finanzas,finanzas,True
study_field_fisica,Física,fisica,True
study_field_fisico_matematicas,Físico-Matemáticas,fisico_matematicas,True
study_field_gastronomia,Gastronomía,gastronomia,True
study_field_geoinformatica,Geoinformática,geoinformatica,True
study_field_gestion_empresarial,Gestión Empresarial,gestion_empresarial,True
study_field_gestion_proyectos,Gestión de Proyectos,gestion_proyectos,True
study_field_gestion_profesional_proyectos,Gestión Profesional de Proyectos,gestion_profesional_proyectos,True
study_field_historia,Historia,historia,True
study_field_informatica_administrativa,Informática Administrativa,informatica_administrativa,True
study_field_ing_electromecanico,Ing. Electromecánico,ing_electromecanico,True
study_field_ing_industrial_abreviado,Ing. Industrial,ing_industrial_abreviado,True
study_field_ing_comunicaciones_electronica,Ing. en Comunicaciones y Electrónica,ing_comunicaciones_electronica,True
study_field_ing_computacion,Ing. en Computación,ing_computacion,True
study_field_ing_computacion_sistemas,Ing. en Computación y Sistemas Digitales,ing_computacion_sistemas,True
study_field_ing_gestion_empresarial,Ing. en Gestión Empresarial,ing_gestion_empresarial,True
study_field_ing_logistica_comercial,Ing. en Logística Comercial Global,ing_logistica_comercial,True
study_field_ing_tecnologia_ambiental,Ing. en Tecnología Ambiental,ing_tecnologia_ambiental,True
study_field_ing_sistemas_telecomunicaciones,Ing. Sistemas y Telecomunicaciones,ing_sistemas_telecomunicaciones,True
study_field_ingenieria_ambiental,Ingeniería Ambiental,ingenieria_ambiental,True
study_field_ingenieria_civil,Ingeniería Civil,ingenieria_civil,True
study_field_ingenieria_electronica,Ingeniería Electrónica,ingenieria_electronica,True
study_field_ing_comunicaciones,Ingeniería en Comunicaciones,ing_comunicaciones,True
study_field_ingenieria_en_software,Ingeniería en Software,ingenieria_en_software,True
study_field_ingenieria_sistemas,Ingeniería en Sistemas Computacionales,ingenieria_sistemas,True
study_field_ingenieria_industrial,Ingeniería Industrial,ingenieria_industrial,True
study_field_ingenieria_mecanica,Ingeniería Mecánica,ingenieria_mecanica,True
study_field_ingenieria_quimica,Ingeniería Química,ingenieria_quimica,True
study_field_ingeniero_electricista,Ingeniero Electricista,ingeniero_electricista,True
study_field_matematicas,Matemáticas,matematicas,True
study_field_medicina,Medicina,medicina,True
study_field_veterinaria,Medicina Veterinaria y Zootecnia,veterinaria,True
study_field_medico_cirujano,Médico Cirujano,medico_cirujano,True
study_field_mercadotecnia,Mercadotecnia,mercadotecnia,True
study_field_musica,Música,musica,True
study_field_negocios_internacionales,Negocios Internacionales,negocios_internacionales,True
study_field_pedagogia,Pedagogía,pedagogia,True
study_field_procesos_industiles,Procesos Industriales,procesos_industiles,True
study_field_programacion,Programación,programacion,True
study_field_psicologia,Psicología,psicologia,True
study_field_psicologia_social,Psicología Social,psicologia_social,True
study_field_quimica,Química,quimica,True
study_field_relaciones_internacionales,Relaciones Internacionales,relaciones_internacionales,True
study_field_refrigeracion_aire_acondicionado,Refrigeración y Aire Acondicionado,refrigeracion_aire_acondicionado,True
study_field_sociologia,Sociología,sociologia,True
study_field_teatro,Teatro,teatro,True
study_field_tecnico_construccion,Técnico en Construcción,tecnico_construccion,True
study_field_tecnico_informatica,Técnico en Informática,tecnico_informatica,True
study_field_tecnico_programacion,Técnico en Programación,tecnico_programacion,True
study_field_tecnico_telecomunicaciones,Técnico en Telecomunicaciones,tecnico_telecomunicaciones,True
study_field_tecnologias_informacion,Tecnologías de la Información,tecnologias_informacion,True
study_field_trabajo_social,Trabajo Social,trabajo_social,True
study_field_turismo,Turismo,turismo,True
